	title	link	source	salary
75	QA Engineer (My Cafe)	https://hh.ru/vacancy/50796557?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
76	Junior QA Automation Engineer/Стажер	https://hh.ru/vacancy/50802718?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
77	Mobile QA Engineer ( Middle/Senior)	https://hh.ru/vacancy/51211757?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
78	QA Engineer (Middle+)	https://hh.ru/vacancy/51178220?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
79	QA Engineer (manual)	https://hh.ru/vacancy/48622707?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
80	Middle+/Senior QA engineer	https://hh.ru/vacancy/50026246?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
81	QA Automation Engineer (JS)	https://hh.ru/vacancy/50753232?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
82	QA Engineer	https://hh.ru/vacancy/50218127?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
83	Middle QA Engineer	https://hh.ru/vacancy/49758646?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
84	QA Engineer	https://hh.ru/vacancy/46472993?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
85	QA Engineer	https://hh.ru/vacancy/50866850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
86	QA Automation Engineer	https://hh.ru/vacancy/50865677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
